camp_id,Governorate,Community
camp_437,Deir-ez-Zor,Zir
camp_438,Deir-ez-Zor,Abu Hardoub
camp_439,Deir-ez-Zor,Daman
camp_440,Deir-ez-Zor,Marashdeh
camp_441,Al-Hasakeh,Kdeimiyat
camp_442,Deir-ez-Zor,Barsham
camp_443,Deir-ez-Zor,Hilweh
camp_444,Deir-ez-Zor,Sadouni
camp_445,Deir-ez-Zor,Hawayej
camp_446,Deir-ez-Zor,Tib Elfal
camp_447,Deir-ez-Zor,Sur
camp_448,Ar-Raqqa,Rashid
camp_449,Deir-ez-Zor,Hreiji
camp_450,Deir-ez-Zor,Hreijiyeh
camp_451,Deir-ez-Zor,Darnaj
camp_452,Deir-ez-Zor,Rweished
camp_453,Deir-ez-Zor,Jeryeh
camp_454,Deir-ez-Zor,Bseitine
camp_455,Al-Hasakeh,Gharb
camp_456,Deir-ez-Zor,Kuwaytar
camp_457,Deir-ez-Zor,Kessar
camp_458,Deir-ez-Zor,Hassan Zaid
camp_459,Deir-ez-Zor,Sayad
camp_460,Al-Hasakeh,Hylanah
camp_461,Deir-ez-Zor,Abu Hamam
camp_462,Deir-ez-Zor,Hilo
camp_463,Al-Hasakeh,Eastern Rashidiyeh
camp_464,Deir-ez-Zor,Shafa
camp_465,Deir-ez-Zor,Abu alkhatir
camp_466,Deir-ez-Zor,Sabha
camp_467,Deir-ez-Zor,Abu Hasan
camp_468,Deir-ez-Zor,Bahra
camp_469,Deir-ez-Zor,Bir Hasan Amo
camp_470,Deir-ez-Zor,Upper Baguz
camp_471,Al-Hasakeh,Western Raya
camp_472,Deir-ez-Zor,Kishmah
camp_473,Deir-ez-Zor,Shiheil
camp_474,Deir-ez-Zor,Hawayej Thyab Jazira
camp_475,Deir-ez-Zor,Karama
camp_476,Deir-ez-Zor,Shinan
camp_477,Ar-Raqqa,Kdeiran
camp_478,Deir-ez-Zor,Hawi Thibyan
camp_479,Ar-Raqqa,Qadessiyeh
camp_480,Deir-ez-Zor,Eastern Jarda
camp_481,Deir-ez-Zor,Breiha
camp_482,Deir-ez-Zor,Lower Safira
camp_483,Deir-ez-Zor,Shate
camp_484,Deir-ez-Zor,Bir Shumary
camp_485,Ar-Raqqa,Ber-hmad
camp_486,Deir-ez-Zor,Sokkar
camp_487,Al-Hasakeh,Tal Maaruf
camp_488,Deir-ez-Zor,Tayyana
camp_489,Deir-ez-Zor,Tuwamiyeh
camp_490,Ar-Raqqa,Turkeia
camp_491,Al-Hasakeh,Maabada
camp_492,Al-Hasakeh,Asi
camp_493,Al-Hasakeh,Tal Hmis
camp_494,Deir-ez-Zor,Ragib
camp_495,Deir-ez-Zor,Hssein
camp_496,Aleppo,Qaderiyeh
camp_497,Deir-ez-Zor,Mastuwr
camp_498,Deir-ez-Zor,Mashekh
camp_499,Deir-ez-Zor,Jdid Ekeidat
camp_500,Al-Hasakeh,Fadghami
camp_501,Deir-ez-Zor,Jdidet Bikara
camp_502,Deir-ez-Zor,Kishkiyeh
camp_503,Deir-ez-Zor,Al Bagouz
camp_504,Deir-ez-Zor,Kasra
camp_505,Ar-Raqqa,Karmnjo
camp_506,Deir-ez-Zor,Ali
camp_507,Deir-ez-Zor,Mehbash
camp_508,Al-Hasakeh,Khan Eljabal
camp_509,Deir-ez-Zor,Thius
camp_510,Deir-ez-Zor,Azman
camp_511,Deir-ez-Zor,Jazaret Elbuhmeid
camp_512,Aleppo,Kajar Tahtani
camp_513,Deir-ez-Zor,Harmushiyeh
camp_514,Al-Hasakeh,Tal Mashan
camp_515,Deir-ez-Zor,Upper Safira
camp_516,Deir-ez-Zor,Jiah
camp_517,Deir-ez-Zor,Kobar
camp_518,Deir-ez-Zor,Asaliyeh
camp_519,Deir-ez-Zor,Zghir Jazireh
camp_520,Al-Hasakeh,Jneidiyeh
camp_521,Al-Hasakeh,Ma'iyzilah
camp_522,Aleppo,Ayoubiyeh - Karoz
camp_523,Al-Hasakeh,Sleiman Sari
camp_524,Deir-ez-Zor,Hejneh
camp_525,Aleppo,Safwaniyeh
camp_526,Aleppo,Bir Amaa
camp_527,Aleppo,Bir Bakkar
camp_528,Deir-ez-Zor,Eastern Gharibeh
camp_529,Deir-ez-Zor,Abu Khashab
camp_530,Ar-Raqqa,Yamama
camp_531,Deir-ez-Zor,Finan Kharbee
camp_532,Deir-ez-Zor,Maisheh
camp_533,Al-Hasakeh,Mudiratah
camp_534,Al-Hasakeh,Sadiyeh
camp_535,Deir-ez-Zor,Abul Nitel
camp_536,Deir-ez-Zor,Kassar
camp_537,Al-Hasakeh,Tal Ahmar
camp_538,Deir-ez-Zor,Gharanij
camp_539,Deir-ez-Zor,Dahleh
camp_540,Deir-ez-Zor,Bubadran
camp_541,Ar-Raqqa,Fteih
camp_542,Al-Hasakeh,Krefati
camp_543,Deir-ez-Zor,Basira
camp_544,Deir-ez-Zor,Hawayej Bumasaa
camp_545,Deir-ez-Zor,Sosa
camp_546,Aleppo,Sheikh Elwan
camp_547,Aleppo,Hazwan
camp_548,Aleppo,Olan
camp_549,Aleppo,Hadath
camp_550,Aleppo,Ghuz
camp_551,Aleppo,Olasha
camp_552,Aleppo,Sosyan
camp_553,Aleppo,Qdeiran
camp_554,Aleppo,Little Sukariyeh
camp_555,Aleppo,Jeb Naassan
camp_556,Aleppo,Qubbet Elsheikh
camp_557,Aleppo,Shbiran
camp_558,Aleppo,Ajami
camp_559,Aleppo,Ash Sharqiyat
camp_560,Aleppo,Fiha as Segira
camp_561,Aleppo,Oruba Bab - Arab Wiran
camp_562,Aleppo,Tabjaq
camp_563,Aleppo,Awasi
camp_564,Aleppo,Al Bab
camp_565,Aleppo,Zarzur
camp_566,Aleppo,Noman
camp_567,Aleppo,Sunbula - Saboyran
